Fuente	xi	k	D'(as)	q'	dq'	\Pi'	d\Pi'	r14	dr14	\beta	i (deg)	di (deg)	sec(i)	q	D(as)	D(pc)	R0(as)	r0	n	R0/r0	n0	P(in)	P(wind)	P(in)/P(wind)	F(photo)	F(star)	F(ph)/F(*)	*
168-328	0.8	0.5	6.83	0.15	0.01	1.55	0.05	2.5	0.3	0.005	52.5	2.5	1.64 +/- 0.09	0.07	11.2 +/- 0.6	0.022 +/- 0.001	0.78 +/- 0.04	0.040 +/- 0.005	5908.35 +/- 537.12	19.50 +/- 2.63	6739950.26 +/- 1918531.11	1.40e-7 +/- 1.27e-8	5.28e-8 +/- 4.80e-9	2.65 +/- 0.34	3.62e14 +/- 2.06e14	8.63e13 +/- 7.85e12	4.19 +/- 2.42	*
168-328	0.8	0.5	6.83	0.15	0.01	1.4	0.05	2.5	0.3	0.001	72.5	2.5	3.33 +/- 0.46	0.03	22.7 +/- 3.1	0.046 +/- 0.006	0.68 +/- 0.09	0.040 +/- 0.005	1471.56 +/- 383.89	17.00 +/- 3.09	1275842.52 +/- 570871.11	3.48e-8 +/- 9.09e-9	1.11e-8 +/- 2.90e-9	3.14 +/- 1.16	1.41e13 +/- 1.15e13	1.97e13 +/- 5.15e12	0.72 +/- 0.61	**
168-328	0.8	0.5	6.83	0.15	0.01	1.4	0.05	2.5	0.3	0.002	62.5	2.5	2.17 +/- 0.18	0.04	14.8 +/- 1.2	0.030 +/- 0.002	0.59 +/- 0.05	0.040 +/- 0.005	3892.29 +/- 518.97	14.75 +/- 2.23	2540449.03 +/- 839529.04	9.22e-8 +/- 1.23e-8	2.67e-8 +/- 3.56e-9	3.45 +/- 0.65	5.31e13 +/- 3.38e13	4.64e13 +/- 6.19e12	1.14 +/- 0.74	**
168-328	0.4	3.0	6.83	0.15	0.01	1.35	0.05	2.5	0.3	0.0005	80	2.5	5.76 +/- 1.43	0.02	39.3 +/- 9.8	0.079 +/- 0.020	0.79 +/- 0.20	0.040 +/- 0.005	1496.79 +/- 757.87	19.75 +/- 5.58	1751524.95 +/- 1328929.44	3.54e-8 +/- 1.79e-8	3.69e-9 +/- 1.87e-9	9.59 +/- 6.87	2.59e13 +/- 3.65e13	6.69e12 +/- 3.39e12	3.87 +/- 5.80	x
168-328	0.2	8.0	6.83	0.15	0.01	1.25	0.05	2.5	0.3	0.0005	82.5	2.5	7.66 +/- 2.54	0.02	52.3 +/- 17.3	0.105 +/- 0.035	1.05 +/- 0.35	0.040 +/- 0.005	1906.43 +/- 1270.95	26.25 +/- 9.35	3940948.27 +/- 3845058.50	4.51e-8 +/- 3.01e-8	2.09e-9 +/- 1.39e-9	21.58 +/- 20.33	1.25e14 +/- 2.37e14	3.79e12 +/- 2.53e12	32.98 +/- 66.30	xx
169-338	1.0	0.0	16.44	0.06	0.01	1.65	0.05	2.5	0.3	0.0005	57.5	2.5	1.86 +/- 0.13	0.02	30.6 +/- 2.1	0.061 +/- 0.004	0.61 +/- 0.04	0.040 +/- 0.005	627.62 +/- 82.31	15.25 +/- 2.15	437882.63 +/- 136170.12	1.49e-8 +/- 1.95e-9	6.19e-9 +/- 8.12e-10	2.41 +/- 0.45	1.98e12 +/- 9.59e11	1.12e13 +/- 1.47e12	0.18 +/- 0.09	*
169-338	1.0	0.0	16.44	0.06	0.01	1.75	0.05	2.5	0.3	0.002	35	2.5	1.22 +/- 0.04	0.04	20.1 +/- 0.7	0.040 +/- 0.002	0.80 +/- 0.03	0.040 +/- 0.005	1459.61 +/- 145.96	20.00 +/- 2.61	1751532.00 +/- 489555.11	3.46e-8 +/- 3.46e-9	1.50e-8 +/- 1.50e-9	2.31 +/- 0.33	2.59e13 +/- 1.37e13	2.61e13 +/- 2.61e12	0.99 +/- 0.53	**
169-338	0.8	0.5	16.44	0.06	0.01	1.35	0.05	2.5	0.3	0.0005	60	2.5	2.00 +/- 0.15	0.02	32.9 +/- 2.5	0.066 +/- 0.005	0.66 +/- 0.05	0.040 +/- 0.005	804.19 +/- 121.85	16.50 +/- 2.41	656822.18 +/- 216146.18	1.90e-8 +/- 2.89e-9	5.29e-9 +/- 8.01e-10	3.59 +/- 0.77	4.09e12 +/- 2.26e12	9.59e12 +/- 1.45e12	0.43 +/- 0.24	**
169-338	0.8	0.5	16.44	0.06	0.01	1.55	0.05	2.5	0.3	0.002	37.5	2.5	1.26 +/- 0.04	0.04	20.7 +/- 0.7	0.042 +/- 0.002	0.83 +/- 0.03	0.040 +/- 0.005	1985.86 +/- 189.13	20.75 +/- 2.70	2565110.54 +/- 710844.38	4.70e-8 +/- 4.48e-9	1.36e-8 +/- 1.30e-9	3.46 +/- 0.47	5.41e13 +/- 2.91e13	2.37e13 +/- 2.26e12	2.28 +/- 1.25	**
177-341	0.4	3.0	25.65	0.15	0.01	1.25	0.05	18.4	1.7	0.001	77.5	2.5	4.62 +/- 0.91	0.03	118.5 +/- 23.3	0.238 +/- 0.047	3.56 +/- 0.70	0.297 +/- 0.028	146.59 +/- 57.90	11.99 +/- 2.61	63221.38 +/- 37163.70	3.47e-9 +/- 1.37e-9	4.15e-10 +/- 1.64e-10	8.36 +/- 4.67	2.99e11 +/- 2.74e11	7.38e11 +/- 2.91e11	0.41 +/- 0.40	**
177-341	0.4	3.0	25.65	0.15	0.01	1.15	0.05	18.4	1.7	0.002	72.5	2.5	3.33 +/- 0.46	0.04	85.4 +/- 11.8	0.171 +/- 0.024	3.42 +/- 0.47	0.297 +/- 0.028	319.47 +/- 89.67	11.52 +/- 1.92	127190.97 +/- 55425.85	7.56e-9 +/- 2.12e-9	8.21e-10 +/- 2.30e-10	9.21 +/- 3.65	1.07e12 +/- 8.16e11	1.43e12 +/- 4.01e11	0.75 +/- 0.61	**
177-341	0.2	8.0	25.65	0.15	0.01	1.25	0.05	18.4	1.7	0.0005	82.5	2.5	7.66 +/- 2.54	0.02	196.5 +/- 65.2	0.394 +/- 0.131	3.93 +/- 1.30	0.297 +/- 0.028	135.40 +/- 90.03	13.23 +/- 4.55	71098.36 +/- 68018.06	3.21e-9 +/- 2.13e-9	1.48e-10 +/- 9.87e-11	21.69 +/- 20.40	3.68e11 +/- 5.61e11	2.69e11 +/- 1.79e11	1.37 +/- 2.28	**
177-341	0.2	8.0	25.65	0.15	0.01	1.15	0.05	18.4	1.7	0.001	80	2.5	5.76 +/- 1.43	0.03	147.7 +/- 36.7	0.296 +/- 0.074	4.43 +/- 1.10	0.297 +/- 0.028	213.24 +/- 106.62	14.92 +/- 3.96	142405.77 +/- 103847.07	5.05e-9 +/- 2.52e-9	2.68e-10 +/- 1.34e-10	18.84 +/- 13.31	1.32e12 +/- 1.71e12	4.77e11 +/- 2.38e11	2.77 +/- 3.84	**
177-341	0.1	18.0	25.65	0.15	0.01	1.25	0.05	18.4	1.7	0.0005	85	2.5	11.47 +/- 5.72	0.02	294.2 +/- 146.7	0.590 +/- 0.295	5.88 +/- 2.93	0.297 +/- 0.028	127.47 +/- 127.47	19.80 +/- 10.04	149920.02 +/- 213523.31	3.02e-9 +/- 3.02e-9	6.62e-11 +/- 6.62e-11	45.62 +/- 64.52	1.46e12 +/- 3.68e12	1.20e11 +/- 1.20e11	12.17 +/- 32.99	xx
180-331	0.8	0.5	25.07	0.07	0.01	1.35	0.05	11.0	1.3	0.0005	62.5	2.5	2.17 +/- 0.18	0.02	54.4 +/- 4.5	0.109 +/- 0.009	1.09 +/- 0.09	0.178 +/- 0.021	294.85 +/- 48.69	6.12 +/- 0.88	33130.29 +/- 10986.71	6.98e-9 +/- 1.15e-9	1.94e-9 +/- 3.20e-10	3.60 +/- 0.84	7.41e10 +/- 2.81e10	3.52e12 +/- 5.81e11	0.02 +/- 8.7e-3	x
