Fuente	xi	k	D'(as)	q'	dq'	\Pi'	d\Pi'	r14	dr14	\beta	i (deg)	di (deg)	sec(i)	q	D(as)	D(pc)	R0(as)	r0	n	R0/r0	n0	P(in)	P(wind)	P(in)/P(wind)	F(photo)	F(star)	F(ph)/F(*)	*
168-328	0.8	0.5	6.83	0.15	0.01	1.55	0.05	2.7	0.3	0.005	52.5	2.5	1.64 +/- 0.09	0.07	11.2 +/- 0.6	0.022 +/- 0.001	0.78 +/- 0.04	0.044 +/- 0.005	7125.19 +/- 647.74	17.73 +/- 2.21	6719472.42 +/- 1783033.68	1.69e-7 +/- 1.53e-8	1.91e-7 +/- 1.74e-8	0.88 +/- 0.11	3.88e14 +/- 2.06e14	8.63e13 +/- 7.85e12	4.50 +/- 2.42	*
168-328	0.8	0.5	6.83	0.15	0.01	1.4	0.05	2.7	0.3	0.001	72.5	2.5	3.33 +/- 0.46	0.03	22.7 +/- 3.1	0.046 +/- 0.006	0.68 +/- 0.09	0.044 +/- 0.005	1774.64 +/- 462.95	15.45 +/- 2.70	1270833.01 +/- 554254.39	4.20e-8 +/- 1.10e-8	4.02e-8 +/- 1.05e-8	1.04 +/- 0.39	1.50e13 +/- 1.20e13	1.97e13 +/- 5.15e12	0.76 +/- 0.64	**
168-328	0.8	0.5	6.83	0.15	0.01	1.4	0.05	2.7	0.3	0.002	62.5	2.5	2.17 +/- 0.18	0.04	14.8 +/- 1.2	0.030 +/- 0.002	0.59 +/- 0.05	0.044 +/- 0.005	4693.92 +/- 625.86	13.41 +/- 1.90	2532296.15 +/- 793045.10	1.11e-7 +/- 1.48e-8	9.65e-8 +/- 1.29e-8	1.15 +/- 0.22	5.68e13 +/- 3.44e13	4.64e13 +/- 6.19e12	1.22 +/- 0.76	**
168-328	0.4	3.0	6.83	0.15	0.01	1.35	0.05	2.7	0.3	0.0005	80	2.5	5.76 +/- 1.43	0.02	39.3 +/- 9.8	0.079 +/- 0.020	0.79 +/- 0.20	0.044 +/- 0.005	676.90 +/- 342.73	17.95 +/- 4.98	654296.62 +/- 491484.69	1.60e-8 +/- 8.12e-9	1.34e-8 +/- 6.76e-9	1.19 +/- 0.85	4.33e12 +/- 5.46e12	6.69e12 +/- 3.39e12	0.65 +/- 0.88	**
168-328	0.2	8.0	6.83	0.15	0.01	1.25	0.05	2.7	0.3	0.0005	82.5	2.5	7.66 +/- 2.54	0.02	52.3 +/- 17.3	0.105 +/- 0.035	1.05 +/- 0.35	0.044 +/- 0.005	383.18 +/- 255.45	23.86 +/- 8.40	654432.66 +/- 634563.48	9.07e-9 +/- 6.05e-9	7.56e-9 +/- 5.04e-9	1.20 +/- 1.13	4.33e12 +/- 7.04e12	3.79e12 +/- 2.53e12	1.14 +/- 2.01	**
169-338	1.0	0.0	16.44	0.06	0.01	1.65	0.05	2.7	0.3	0.0005	57.5	2.5	1.86 +/- 0.13	0.02	30.6 +/- 2.1	0.061 +/- 0.004	0.61 +/- 0.04	0.044 +/- 0.005	1135.32 +/- 148.89	13.86 +/- 1.82	654283.55 +/- 192064.50	2.69e-8 +/- 3.53e-9	2.24e-8 +/- 2.94e-9	1.20 +/- 0.22	4.33e12 +/- 2.17e12	1.12e13 +/- 1.47e12	0.39 +/- 0.20	*
169-338	1.0	0.0	16.44	0.06	0.01	1.75	0.05	2.7	0.3	0.002	35	2.5	1.22 +/- 0.04	0.04	20.1 +/- 0.7	0.040 +/- 0.002	0.80 +/- 0.03	0.044 +/- 0.005	2640.33 +/- 264.03	18.18 +/- 2.18	2617985.42 +/- 680249.72	6.25e-8 +/- 6.25e-9	5.43e-8 +/- 5.43e-9	1.15 +/- 0.16	6.06e13 +/- 3.07e13	2.61e13 +/- 2.61e12	2.32 +/- 1.20	**
169-338	0.8	0.5	16.44	0.06	0.01	1.35	0.05	2.7	0.3	0.0005	60	2.5	2.00 +/- 0.15	0.02	32.9 +/- 2.5	0.066 +/- 0.005	0.66 +/- 0.05	0.044 +/- 0.005	969.82 +/- 146.94	15.00 +/- 2.05	654628.50 +/- 204582.87	2.30e-8 +/- 3.48e-9	1.91e-8 +/- 2.90e-9	1.20 +/- 0.26	4.33e12 +/- 2.30e12	9.59e12 +/- 1.45e12	0.45 +/- 0.25	*
169-338	0.8	0.5	16.44	0.06	0.01	1.55	0.05	2.7	0.3	0.002	37.5	2.5	1.26 +/- 0.04	0.04	20.7 +/- 0.7	0.042 +/- 0.002	0.83 +/- 0.03	0.044 +/- 0.005	2394.86 +/- 228.08	18.86 +/- 2.25	2555552.23 +/- 656534.27	5.67e-8 +/- 5.40e-9	4.92e-8 +/- 4.69e-9	1.15 +/- 0.16	5.78e13 +/- 2.89e13	2.37e13 +/- 2.26e12	2.44 +/- 1.24	*
177-341	0.4	3.0	25.65	0.15	0.01	1.25	0.05	19.6	1.9	0.001	77.5	2.5	4.62 +/- 0.91	0.03	118.5 +/- 23.3	0.238 +/- 0.047	3.56 +/- 0.70	0.316 +/- 0.031	66.29 +/- 26.18	11.27 +/- 2.48	25259.06 +/- 14936.29	1.57e-9 +/- 6.20e-10	1.50e-9 +/- 5.93e-10	1.05 +/- 0.58	6.68e10 +/- 4.91e10	7.38e11 +/- 2.91e11	0.09 +/- 0.08	x
177-341	0.4	3.0	25.65	0.15	0.01	1.15	0.05	19.6	1.9	0.002	72.5	2.5	3.33 +/- 0.46	0.04	85.4 +/- 11.8	0.171 +/- 0.024	3.42 +/- 0.47	0.316 +/- 0.031	144.47 +/- 40.55	10.82 +/- 1.83	50740.35 +/- 22302.87	3.42e-9 +/- 9.60e-10	2.97e-9 +/- 8.34e-10	1.15 +/- 0.46	2.13e11 +/- 1.41e11	1.43e12 +/- 4.01e11	0.15 +/- 0.11	x
177-341	0.2	8.0	25.65	0.15	0.01	1.25	0.05	19.6	1.9	0.0005	82.5	2.5	7.66 +/- 2.54	0.02	196.5 +/- 65.2	0.394 +/- 0.131	3.93 +/- 1.30	0.316 +/- 0.031	27.21 +/- 18.10	12.44 +/- 4.29	12632.54 +/- 12104.76	6.44e-10 +/- 4.29e-10	5.37e-10 +/- 3.57e-10	1.20 +/- 1.13	2.37e10 +/- 2.30e10	2.69e11 +/- 1.79e11	0.09 +/- 0.10	x
177-341	0.2	8.0	25.65	0.15	0.01	1.15	0.05	19.6	1.9	0.001	80	2.5	5.76 +/- 1.43	0.03	147.7 +/- 36.7	0.296 +/- 0.074	4.43 +/- 1.10	0.316 +/- 0.031	42.86 +/- 21.43	14.02 +/- 3.74	25273.74 +/- 18480.05	1.01e-9 +/- 5.07e-10	9.71e-10 +/- 4.85e-10	1.04 +/- 0.74	6.69e10 +/- 6.08e10	4.77e11 +/- 2.38e11	0.14 +/- 0.15	x
177-341	0.1	18.0	25.65	0.15	0.01	1.25	0.05	19.6	1.9	0.0005	85	2.5	11.47 +/- 5.72	0.02	294.2 +/- 146.7	0.590 +/- 0.295	5.88 +/- 2.93	0.316 +/- 0.031	12.14 +/- 12.14	18.61 +/- 9.45	12613.42 +/- 17977.59	2.87e-10 +/- 2.87e-10	2.39e-10 +/- 2.39e-10	1.20 +/- 1.70	2.36e10 +/- 3.41e10	1.20e11 +/- 1.20e11	0.20 +/- 0.35	*
180-331	0.8	0.5	25.07	0.07	0.01	1.35	0.05	11.7	1.3	0.0005	62.5	2.5	2.17 +/- 0.18	0.02	54.4 +/- 4.5	0.109 +/- 0.009	1.09 +/- 0.09	0.189 +/- 0.021	355.57 +/- 58.72	5.77 +/- 0.80	35513.87 +/- 11461.99	8.42e-9 +/- 1.39e-9	7.01e-9 +/- 1.16e-9	1.20 +/- 0.28	8.51e10 +/- 3.27e10	3.52e12 +/- 5.81e11	0.02 +/- 0.01	x
